the,7536,26122,170645
i,4719,18122,170645
you,4301,16352,170645
and,3712,12914,170645
to,3607,12807,170645
a,3415,13076,170645
it,2329,8678,170645
my,2305,8975,170645
in,2128,7813,170645
im,2050,6893,170645
me,1953,8213,170645
on,1792,6321,170645
that,1658,6063,170645
like,1420,5216,170645
of,1392,4823,170645
get,1386,4260,170645
up,1380,4273,170645
we,1247,4816,170645
your,1219,4918,170645
with,1211,4296,170645
for,1173,4116,170645
is,1161,4318,170645
be,1047,3797,170645
so,1002,3648,170645
they,981,3038,170645
got,980,3786,170645
dont,950,3223,170645
know,940,3437,170645
but,937,3048,170645
no,934,3433,170645
all,929,3552,170645
its,890,3040,170645
this,872,3448,170645
what,826,2786,170645
when,741,2492,170645
just,739,2460,170645
out,717,2688,170645
now,696,2463,170645
cause,663,2073,170645
aint,658,2652,170645
do,635,2561,170645
if,609,2095,170645
nigga,602,1941,170645
from,538,1772,170645
ya,531,1979,170645
can,494,2152,170645
was,483,1855,170645
see,476,1927,170645
shit,460,1721,170645
one,457,1629,170645
down,457,1867,170645
man,455,1599,170645
back,453,1643,170645
at,444,1659,170645
yeah,442,1738,170645
thats,428,1413,170645
she,428,1946,170645
go,425,1754,170645
not,423,1312,170645
or,412,1225,170645
come,411,1534,170645
em,406,1328,170645
yo,402,1569,170645
make,402,1807,170645
right,392,1238,170645
some,392,1245,170645
fuck,385,1165,170645
time,376,1372,170645
he,372,1371,170645
love,366,1635,170645
never,353,1246,170645
how,351,1301,170645
money,350,948,170645
have,340,1189,170645
niggas,334,1210,170645
cant,332,1336,170645
want,331,1516,170645
them,330,1332,170645
then,327,1107,170645
let,326,1495,170645
take,321,1192,170645
keep,321,1098,170645
wanna,312,1369,170645
here,307,1098,170645
way,305,1262,170645
baby,300,1331,170645
her,294,1246,170645
who,292,1055,170645
as,279,1008,170645
about,278,984,170645
say,277,1118,170645
real,263,868,170645
life,259,1030,170645
are,256,1061,170645
off,255,1135,170645
where,253,906,170645
ill,252,929,170645
through,249,796,170645
still,248,745,170645
gotta,246,878,170645
youre,245,917,170645
game,241,651,170645
will,239,972,170645
around,233,622,170645
mad,229,228,170645
big,228,639,170645
tell,227,896,170645
put,226,832,170645
give,226,849,170645
yall,223,939,170645
more,221,765,170645
ass,221,777,170645
his,220,725,170645
had,219,713,170645
hit,219,702,170645
an,216,719,170645
these,216,721,170645
by,215,782,170645
chorus,211,1028,170645
bitch,211,880,170645
need,206,955,170645
why,204,769,170645
new,202,609,170645
niggaz,193,608,170645
think,187,651,170645
been,184,731,170645
even,183,582,170645
lets,179,636,170645
than,177,527,170645
him,175,568,170645
look,174,652,170645
too,172,586,170645
try,171,427,170645
better,171,560,170645
girl,170,1349,170645
could,168,685,170645
us,163,710,170645
stay,161,481,170645
gonna,158,760,170645
boy,157,538,170645
always,156,450,170645
wont,156,520,170645
day,154,609,170645
over,154,553,170645
world,153,566,170645
feel,153,699,170645
live,152,498,170645
da,149,871,170645
hard,148,476,170645
said,148,612,170645
there,147,725,170645
stop,145,616,170645
thing,145,498,170645
mind,144,464,170645
only,138,486,170645
beat,138,401,170645
same,136,381,170645
little,135,399,170645
call,133,581,170645
die,133,609,170645
good,131,616,170645
two,131,428,170645
would,130,428,170645
people,130,473,170645
into,129,387,170645
home,128,398,170645
ima,128,426,170645
well,128,535,170645
watch,127,344,170645
really,127,459,170645
wit,126,506,170645
gon,125,601,170645
nothing,125,341,170645
verse,124,437,170645
while,123,381,170645
play,122,416,170645
street,121,317,170645
head,121,422,170645
club,121,323,170645
our,120,427,170645
name,120,408,170645
were,119,396,170645
ride,118,385,170645
every,117,528,170645
much,116,319,170645
hood,116,427,170645
black,116,438,170645
di,115,319,170645
turn,114,357,170645
whats,112,390,170645
show,112,497,170645
did,112,345,170645
another,111,350,170645
whole,111,352,170645
things,111,399,170645
run,110,443,170645
walk,109,347,170645
buck,108,241,170645
kill,108,271,170645
move,107,495,170645
low,106,438,170645
gettin,103,336,170645
best,102,340,170645
oh,102,868,170645
bring,102,361,170645
ever,102,523,170645
because,102,346,170645
uh,101,343,170645
face,101,414,170645
hey,100,599,170645
mean,100,266,170645
goin,100,454,170645
front,100,252,170645
bad,100,300,170645
bout,99,492,170645
war,99,271,170645
tryin,98,337,170645
fuckin,98,319,170645
hate,98,234,170645
fo,97,162,170645
talk,97,365,170645
house,97,314,170645
rap,97,368,170645
cash,96,254,170645
funk,96,166,170645
eat,96,196,170645
mcs,95,189,170645
before,94,403,170645
streets,92,321,170645
hear,92,366,170645
their,91,242,170645
hell,90,332,170645
made,90,366,170645
find,90,348,170645
tha,89,206,170645
crazy,89,256,170645
city,89,285,170645
done,89,377,170645
wrong,88,246,170645
kick,88,205,170645
hes,88,263,170645
act,87,265,170645
used,87,264,170645
fake,87,162,170645
leave,85,394,170645
straight,85,239,170645
ready,85,474,170645
believe,85,258,170645
gone,84,361,170645
comin,84,245,170645
cuz,83,236,170645
high,83,311,170645
theres,83,325,170645
came,83,292,170645
block,83,231,170645
ha,82,218,170645
hold,82,409,170645
check,82,334,170645
getting,82,223,170645
didnt,81,245,170645
without,81,311,170645
should,81,297,170645
hoes,80,263,170645
doin,80,204,170645
bitches,80,295,170645
left,80,284,170645
last,79,293,170645
step,79,209,170645
mine,79,226,170645
after,78,205,170645
damn,78,304,170645
start,77,232,170645
peace,77,198,170645
god,77,433,170645
catch,77,236,170645
drop,76,412,170645
grind,76,126,170645
told,76,281,170645
pussy,76,156,170645
dick,76,216,170645
thought,76,303,170645
next,75,283,170645
hot,75,377,170645
whatever,75,195,170645
other,74,267,170645
ive,74,367,170645
rock,74,501,170645
everybody,74,254,170645
nothin,73,276,170645
till,73,297,170645
dem,73,265,170645
wall,73,122,170645
going,73,294,170645
pay,73,202,170645
any,72,208,170645
many,72,241,170645
break,72,272,170645
flow,71,265,170645
dead,70,236,170645
makin,70,164,170645
help,70,157,170645
mic,70,173,170645
place,70,264,170645
old,70,228,170645
seen,69,274,170645
might,69,269,170645
full,68,222,170645
first,68,315,170645
happy,68,124,170645
own,68,204,170645
lord,68,345,170645
side,68,258,170645
word,68,230,170645
id,67,212,170645
bone,67,216,170645
style,67,244,170645
coming,66,182,170645
2,66,321,170645
true,66,221,170645
d,66,141,170645
youll,66,182,170645
dope,66,230,170645
rollin,65,171,170645
kid,65,183,170645
work,65,292,170645
kids,64,179,170645
has,64,197,170645
crew,64,162,170645
set,64,187,170645
cmon,64,146,170645
heart,64,330,170645
mi,64,366,170645
under,64,178,170645
top,64,297,170645
til,64,182,170645
days,63,175,170645
matter,63,187,170645
fucking,63,161,170645
stand,63,205,170645
pull,62,206,170645
night,62,440,170645
sound,62,213,170645
those,62,250,170645
heard,62,246,170645
plus,62,177,170645
bust,62,205,170645
wait,62,237,170645
brother,62,143,170645
ask,61,234,170645
lot,61,191,170645
locked,60,98,170645
long,60,307,170645
thug,60,174,170645
mack,60,128,170645
doing,60,161,170645
dance,60,199,170645
change,59,236,170645
drink,59,143,170645
roll,58,336,170645
runnin,58,177,170645
caught,58,156,170645
u,58,218,170645
open,58,180,170645
dreams,58,125,170645
dig,58,106,170645
rhymes,58,136,170645
away,57,288,170645
lost,57,162,170645
