the,8546,31534,196852
i,5322,19341,196852
you,4760,18110,196852
and,4409,16151,196852
a,4144,15469,196852
to,4125,15549,196852
my,2781,10176,196852
in,2561,9771,196852
me,2312,9391,196852
it,2270,9163,196852
im,2003,7344,196852
on,1996,7610,196852
with,1715,5845,196852
that,1708,6512,196852
like,1650,5771,196852
your,1533,5323,196852
of,1528,5458,196852
we,1501,5695,196852
up,1454,5444,196852
get,1424,5187,196852
is,1280,4610,196852
for,1264,4605,196852
got,1255,4556,196852
dont,1183,4106,196852
but,1164,4047,196852
all,1127,3884,196852
be,1124,4428,196852
nigga,1074,3846,196852
they,1044,3548,196852
this,1044,3730,196852
know,998,3617,196852
so,992,3941,196852
its,918,3783,196852
what,910,3485,196852
when,842,3185,196852
no,838,3463,196852
cause,837,2852,196852
out,836,3011,196852
now,822,2730,196852
aint,784,2891,196852
shit,751,2492,196852
if,741,2696,196852
just,727,2623,196852
was,662,2482,196852
from,649,2203,196852
can,649,2283,196852
do,647,2490,196852
ya,640,2475,196852
niggas,632,2309,196852
down,627,2163,196852
see,579,2266,196852
want,576,2050,196852
yo,521,2125,196852
fuck,514,1820,196852
em,512,1732,196852
one,501,1901,196852
yeah,478,1907,196852
come,478,1831,196852
some,474,1698,196852
make,473,1642,196852
man,467,1848,196852
at,459,1635,196852
thats,453,1681,196852
she,438,1401,196852
them,432,1604,196852
back,428,1896,196852
he,421,1387,196852
or,421,1531,196852
time,419,1472,196852
go,417,1911,196852
cant,409,1501,196852
how,402,1501,196852
then,400,1378,196852
off,396,1405,196852
bitch,386,1314,196852
let,375,1432,196852
who,374,1323,196852
yall,360,1152,196852
take,357,1409,196852
money,357,1287,196852
not,356,1301,196852
ass,344,1089,196852
say,340,1299,196852
about,339,1361,196852
her,338,1163,196852
gotta,327,1159,196852
never,323,1204,196852
love,322,1642,196852
chorus,315,1360,196852
have,313,1239,196852
these,302,1101,196852
better,300,844,196852
us,299,981,196852
right,291,1164,196852
put,290,1073,196852
his,286,928,196852
still,284,977,196852
why,281,1167,196852
niggaz,278,997,196852
where,274,910,196852
ill,272,1086,196852
keep,271,1059,196852
think,270,816,196852
youre,267,1047,196852
as,267,1162,196852
big,262,1040,196852
mad,258,257,196852
way,257,1132,196852
here,257,1073,196852
game,256,784,196852
by,252,885,196852
real,250,948,196852
give,244,960,196852
baby,237,1415,196852
tell,237,1134,196852
wit,234,871,196852
are,227,922,196852
an,226,921,196852
had,224,835,196852
more,222,874,196852
world,221,635,196852
even,218,697,196852
wanna,215,877,196852
hit,214,924,196852
him,214,624,196852
need,213,940,196852
around,212,774,196852
bone,211,898,196852
life,210,815,196852
run,210,693,196852
than,208,660,196852
through,205,850,196852
said,205,767,196852
gonna,199,849,196852
over,199,633,196852
look,197,790,196852
been,194,764,196852
stop,189,648,196852
oh,187,961,196852
lets,185,586,196852
many,183,440,196852
play,182,605,196852
could,181,680,196852
ima,181,521,196852
every,177,534,196852
change,172,357,196852
watch,172,504,196852
people,171,533,196852
feel,170,771,196852
fat,169,467,196852
little,165,697,196852
new,164,658,196852
two,164,611,196852
joe,163,309,196852
good,162,638,196852
girl,161,721,196852
rap,159,457,196852
friends,156,312,196852
night,154,510,196852
call,154,580,196852
mind,154,552,196852
thug,153,704,196852
high,153,591,196852
only,152,537,196852
well,152,565,196852
fuckin,150,507,196852
ready,148,486,196852
were,146,592,196852
gon,145,614,196852
face,145,440,196852
name,145,494,196852
ride,145,610,196852
there,144,661,196852
hard,143,521,196852
while,142,458,196852
die,142,1042,196852
try,141,465,196852
uh,141,501,196852
before,141,439,196852
will,141,703,196852
hell,140,379,196852
too,140,645,196852
gettin,138,495,196852
paper,136,235,196852
heard,136,391,196852
