the,7334,30000,179834
i,5473,22194,179834
you,4340,20375,179834
and,3932,15613,179834
a,3904,16228,179834
to,3737,14791,179834
my,2633,10849,179834
in,2414,9638,179834
it,2111,10020,179834
me,2061,10255,179834
im,1987,8250,179834
that,1754,6986,179834
on,1696,7141,179834
with,1416,5877,179834
like,1389,5803,179834
we,1387,5708,179834
of,1358,5640,179834
your,1315,5795,179834
up,1310,5206,179834
get,1208,4894,179834
is,1130,4487,179834
be,1129,4307,179834
dont,1107,4387,179834
but,1051,4006,179834
got,1044,4298,179834
for,1014,4605,179834
know,980,3959,179834
so,967,4170,179834
they,955,4106,179834
this,916,3876,179834
when,878,3412,179834
nigga,838,3112,179834
all,836,3949,179834
aint,832,3020,179834
out,813,3136,179834
its,756,3666,179834
no,741,3958,179834
what,733,3261,179834
cause,730,3012,179834
if,689,2794,179834
just,678,2794,179834
was,673,2383,179834
shit,645,2381,179834
now,627,2713,179834
from,595,2490,179834
down,569,2431,179834
ya,563,2715,179834
can,562,2484,179834
he,552,1702,179834
do,551,2901,179834
one,505,1909,179834
niggas,501,2174,179834
see,489,2367,179834
at,484,1981,179834
fuck,482,2003,179834
yo,480,2308,179834
man,466,1832,179834
back,453,2077,179834
thats,449,1777,179834
go,446,2041,179834
em,435,1666,179834
come,422,1736,179834
some,410,1692,179834
not,396,1462,179834
cant,392,1640,179834
or,386,1455,179834
wanna,378,1527,179834
never,369,1468,179834
make,368,1927,179834
let,361,1626,179834
bitch,358,1378,179834
love,351,1765,179834
off,343,1280,179834
yeah,343,1472,179834
chorus,341,1478,179834
say,338,1386,179834
them,337,1562,179834
who,330,1265,179834
she,328,1501,179834
her,325,1282,179834
then,323,1265,179834
ass,322,1095,179834
time,322,1422,179834
way,315,1273,179834
how,310,1484,179834
as,291,1272,179834
have,282,1221,179834
through,279,956,179834
want,271,1604,179834
his,271,942,179834
right,270,1282,179834
about,268,1261,179834
take,267,1302,179834
why,263,1156,179834
still,263,1037,179834
niggaz,261,858,179834
gotta,260,1214,179834
put,257,1016,179834
tell,256,1171,179834
money,256,1091,179834
baby,255,1590,179834
keep,248,1048,179834
by,243,888,179834
big,241,774,179834
him,241,839,179834
give,238,1172,179834
real,234,951,179834
think,232,866,179834
need,232,1116,179834
ill,231,1115,179834
mad,231,230,179834
had,228,827,179834
are,227,944,179834
fuckin,224,625,179834
yall,224,1053,179834
these,223,1065,179834
life,222,957,179834
around,211,691,179834
really,206,692,179834
here,205,1071,179834
wit,204,1177,179834
even,203,708,179834
said,203,835,179834
been,202,880,179834
an,201,741,179834
game,201,848,179834
youre,201,929,179834
there,200,724,179834
die,200,803,179834
too,200,761,179834
where,200,1057,179834
boy,197,745,179834
more,196,857,179834
us,193,886,179834
will,191,781,179834
could,187,674,179834
hit,187,809,179834
stop,182,705,179834
little,182,747,179834
new,181,661,179834
head,178,637,179834
hey,175,595,179834
comin,173,399,179834
girl,173,1287,179834
day,172,746,179834
gon,171,798,179834
oh,171,1081,179834
black,170,594,179834
than,170,612,179834
bout,169,653,179834
feel,168,789,179834
over,162,738,179834
look,159,741,179834
bitches,156,469,179834
same,155,479,179834
only,152,647,179834
bone,152,532,179834
better,152,737,179834
dick,150,438,179834
call,145,732,179834
two,145,501,179834
watch,145,503,179834
talkin,144,376,179834
made,144,565,179834
hood,143,473,179834
tryin,143,525,179834
damn,142,512,179834
people,140,489,179834
always,140,486,179834
thought,139,390,179834
play,138,629,179834
wild,137,219,179834
verse,136,550,179834
hear,136,401,179834
gonna,136,691,179834
face,136,460,179834
every,135,624,179834
hard,135,560,179834
try,134,559,179834
good,133,712,179834
ride,132,609,179834
well,130,525,179834
city,128,337,179834
hoes,127,404,179834
gone,127,480,179834
ima,126,579,179834
dog,126,273,179834
our,123,520,179834
into,122,403,179834
did,122,463,179834
whats,119,519,179834
mind,118,499,179834
stay,117,582,179834
hold,117,408,179834
check,117,425,179834
before,116,488,179834
break,116,426,179834
world,115,642,179834
first,114,423,179834
thug,114,414,179834
were,114,423,179834
much,113,446,179834
leave,113,486,179834
young,113,332,179834
bad,113,363,179834
would,111,508,179834
ready,111,380,179834
done,111,548,179834
while,111,433,179834
kill,111,429,179834
high,108,432,179834
whole,107,458,179834
show,107,530,179834
eyes,107,470,179834
wont,106,448,179834
ghetto,106,377,179834
straight,105,396,179834
start,104,328,179834
am,104,311,179834
streets,103,406,179834
might,103,428,179834
lets,102,623,179834
told,102,381,179834
run,101,501,179834
kid,101,231,179834
thing,101,407,179834
find,101,386,179834
own,100,296,179834
nothin,99,334,179834
gangsta,99,329,179834
ho,99,223,179834
name,99,513,179834
stand,99,282,179834
nobody,98,253,179834
tha,98,499,179834
goin,98,450,179834
uh,97,586,179834
rap,97,461,179834
long,96,382,179834
pop,95,368,179834
gettin,95,425,179834
hes,94,364,179834
thugs,94,328,179834
talk,94,432,179834
rock,94,475,179834
left,94,337,179834
lookin,93,325,179834
live,93,455,179834
hate,93,267,179834
mean,93,366,179834
ever,93,401,179834
days,92,240,179834
doin,92,331,179834
many,92,343,179834
bring,92,460,179834
hell,92,329,179834
wall,92,188,179834
drop,91,298,179834
theres,91,382,179834
heard,90,345,179834
knew,90,261,179834
again,89,547,179834
came,89,364,179834
home,88,440,179834
huh,88,298,179834
believe,88,319,179834
bust,88,310,179834
another,87,337,179834
west,86,209,179834
club,86,308,179834
other,85,429,179834
everybody,85,388,179834
top,84,351,179834
dead,84,463,179834
son,83,285,179834
word,83,251,179834
away,82,478,179834
night,82,444,179834
lost,82,213,179834
hoe,82,263,179834
block,82,369,179834
roll,81,356,179834
street,81,386,179834
any,81,275,179834
shot,81,276,179834
light,81,233,179834
because,81,353,179834
place,80,286,179834
work,80,477,179834
remember,79,251,179834
rappers,79,160,179834
youll,79,327,179834
house,79,352,179834
last,78,313,179834
seen,78,286,179834
went,78,240,179834
wrong,77,331,179834
didnt,77,310,179834
best,77,303,179834
style,77,228,179834
mouth,76,291,179834
set,76,228,179834
end,76,265,179834
heart,76,339,179834
wait,76,263,179834
god,75,328,179834
mine,75,291,179834
pump,75,139,179834
fucked,75,214,179834
police,74,159,179834
everything,74,287,179834
nothing,74,305,179834
hand,73,287,179834
caught,73,226,179834
2,73,378,179834
ive,73,312,179834
diggie,73,72,179834
beat,73,422,179834
spit,72,257,179834
without,72,318,179834
da,72,432,179834
something,72,226,179834
boys,72,252,179834
rollin,71,209,179834
hands,71,314,179834
front,71,223,179834
cut,70,215,179834
used,69,277,179834
until,69,261,179834
things,69,410,179834
cash,68,262,179834
listen,67,252,179834
daddy,67,323,179834
wish,67,218,179834
after,67,279,179834
though,67,247,179834
sayin,67,242,179834
quick,67,210,179834
gun,66,294,179834
yes,66,291,179834
act,66,227,179834
weed,65,224,179834
industry,65,89,179834
smoke,65,238,179834
sit,65,153,179834
side,65,374,179834
lil,65,393,179834
white,65,357,179834
pull,64,301,179834
ask,64,261,179834
crew,64,238,179834
took,64,231,179834
hot,64,424,179834
three,64,240,179834
york,64,157,179834
dope,64,226,179834
flow,63,305,179834
ol,63,121,179834
makin,63,220,179834
please,63,315,179834
brain,62,202,179834
g,62,217,179834
crazy,62,293,179834
1,62,265,179834
their,62,267,179834
music,61,245,179834
runnin,61,220,179834
move,61,321,179834
should,61,313,179834
change,60,312,179834
car,60,220,179834
50,60,165,179834
walk,60,301,179834
body,60,416,179834
mcs,59,131,179834
steady,59,113,179834
x2,59,205,179834
throw,59,328,179834
started,59,192,179834
murder,59,254,179834
free,59,231,179834
getting,59,227,179834
years,58,195,179834
takin,58,186,179834
sound,58,199,179834
cha,58,129,179834
trying,58,216,179834
since,58,273,179834
homie,58,162,179834
till,58,305,179834
smokin,58,132,179834
pussy,58,282,179834
soul,58,215,179834
blow,58,230,179834
dirt,57,112,179834
understand,57,198,179834
dem,57,155,179834
open,57,217,179834
going,57,235,179834
cuz,56,173,179834
